
#     NAME                     P0                                     P1
                               (s)
-------------------------------------------------------------------------------------------------------
112   B0203-40      mlt+78     0.630551259569           4  jbv+19     1.1966E-15         3  jbv+19 
113   J0209+5759    gac+21     1.063906282526          14  gac+21     1.39190E-14       14  gac+21 
114   J0210+5845    scb+19     1.766208099              2  tbc+20     134.02E-15         2  tbc+20 
115   J0211-8159    lml+98     1.0773327013             8  dsb+98     2.9E-16            2  dsb+98 

116   J0212+5222    bck+13     0.3763863640606         15  lsk+18     6.5993E-15        13  lsk+18 
117   J0214+5222    slr+14     0.02457529479071        22  slr+14     2.99E-19          10  slr+14 
118   J0215+6218    llc98      0.548879819155           3  hlk+04     6.6212E-16         3  hlk+04 
119   J0218+4232    nbf+95     0.00232309053151224      8  dcl+16     7.73955E-20        7  dcl+16 
120   J0220+3626    ttol16     1.0297                   0  ttol16     *                  0  *

121   J0227+3356    dcm+23     1.240102460176           4  dcm+23     2.8515E-15        11  dcm+23 
122   J0229+20      dsm+13     0.8069                   0  dsm+13     *                  0  *
123   B0226+70      dtws85     1.466820306152           7  hlk+04     3.10998E-15        7  hlk+04 
124   J0241+16      dsm+13     1.5454                   0  dsm+13     *                  0  *
125   J0242+62      hrk+08     0.592                    0  hrk+08     *                  0  *

126   J0243+6027    hrk+08     1.473                    0  hrk+08     *                  0  *
127   J0244+14      dsm+13     2.1281                   0  dsm+13     *                  0  *
128   J0248+4230    brj+21     0.0026008347856317       3  brj+21     1.6873E-20         5  brj+21 
129   J0248+6021    tpc+11     0.217094                 5  tpc+11     5.509E-14          5  tpc+11 
130   J0250+5854    tbc+18     23.535378476             1  tbc+18     2.716E-14          7  tbc+18 

131   J0251+2606    cck+16     0.0025415543469461       3  drc+21     7.572E-21          8  drc+21 
132   B0254-53      lvw69b     0.4477084731988          3  jbv+19     3.129E-17          3  jbv+19 
133   J0301+35      mgf+19     0.56832                  0  ar_drift21 *                  0  *
134   J0302+2252    ttol16     1.207164839778           2  mbc+20     8.25E-17           1  mbc+20 
135   B0301+19      fss73      1.387584446262           3  hlk+04     1.295235E-15      20  hlk+04 

136   J0305+11      scb+19     0.8621                   0  scb+19     *                  0  *
137   J0307+7443    hrm+11     0.003156088688500        3  saa+23     1.726E-20         10  saa+23 
138   J0312-0921    trr+21     0.0037043355330862       3  saa+23     1.9723E-20         6  saa+23 
139   J0317+13      ttm18      1.9743                   0  scb+19     *                  0  *
140   J0318+0253    wlz+18     0.0051898521745201      14  wlc+21     1.762E-20          3  wlc+21 

141   B0320+39      dth78      3.032071956385          10  hlk+04     6.3562E-16         7  hlk+04 
142   J0324+5239    bck+13     0.336620230291           3  bck+13     0.381E-15          3  bck+13 
143   J0325+6744    slr+14     1.364678767282          15  lsk+18     1.553E-15         10  lsk+18 
144   J0329+1654    lxf+05     0.893319660649           1  lxf+05     0.21525E-15        6  lxf+05 
145   B0329+54      cp68       0.714519699726           4  hlk+04     2.048265E-15       8  hlk+04 

146   B0331+45      dtws85     0.26920054092953        13  hlk+04     7.3505E-18        10  hlk+04 
147   J0335+6623    slr+14     1.76193424742           19  lsk+18     4.81E-15          10  lsk+18 
148   J0337+1715    rsa+14     0.00273258863244         9  rsa+14     1.7666E-20         9  rsa+14 
149   J0337+79      kkl+15     2.05621                  6  kkl+15     *                  0  *
150   J0340+4130    wmg+22     0.003299339366490734    17  abb+18     7.0470E-21        12  abb+18 

151   J0341+5711    hrk+08     1.888                    0  hrk+08     *                  0  *
152   J0343+06      mgf+19     1.00764                  0  mgf+19     *                  0  *
153   J0343-3000    bjd+06     2.59702715738            9  bjd+06     0.057E-15          9  bjd+06 
154   B0339+53      dth78      1.934478067294          15  hlk+04     1.342243E-14      15  hlk+04 
155   J0344-0901    clh+20     1.226005572598          13  clh+20     3.4708E-15        16  clh+20 

156   J0348+0432    lbr+13     0.0391226569017806       7  afw+13     2.4075E-19         5  afw+13 
157   J0349+2340    scb+19     2.42077097760            4  mbc+20     1.0995E-15         7  mbc+20 
158   J0355+28      mss+20     0.365                    0  mss+20     *                  0  *
159   J0357+3205    aaa+09c    0.4441044988             6  rkp+11     1.3037E-14        20  rkp+11 
160   B0353+52      dtws85     0.1970300980314          3  hlk+04     4.76594E-16        3  hlk+04 

161   J0358+4155    slr+14     0.2264843322519          3  lsk+18     1.4583E-16        16  lsk+18 
162   B0355+54      mth72      0.156384121559           8  lwy+16     4.39496E-15        5  lwy+16 
163   J0358+6627    slr+14     0.09150578075475        17  lsk+18     1.089E-17          9  lsk+18 
164   J0359+5414    cwp+17     0.0794272322920         13  cwp+17     1.673360E-14       7  cwp+17 
165   B0403-76      mlt+78     0.54525418661            3  lbs+20     1.54380E-15       12  lbs+20 

166   J0402+4825    ccl+21     0.512194448731           3  ccl+21     2.755E-16          6  ccl+21 
167   J0405+3347    mss+20     0.064                    0  mss+20     *                  0  *
168   J0406+30      mss+20     0.0026                   0  mss+20     *                  0  *
169   B0402+61      dth78      0.5945761650437          8  ywml10     5.57316E-15        3  ywml10 
170   J0407+1607    lxf+05     0.02570173919463         2  lxf+05     7.9E-20            3  lxf+05 

171   J0408+551     hrk+08     1.837                    0  hrk+08     *                  0  *
172   J0408+552     hrk+08     0.754                    0  hrk+08     *                  0  *
173   J0410-31      bbj+11     1.8785                   2  bbj+11     *                  0  *
174   J0413+58      hrk+08     0.687                    0  hrk+08     *                  0  *
175   J0414+31      mss+20     1.081                    0  mss+20     *                  0  *

176   B0410+69      dtws85     0.3907150899386          3  hlk+04     7.6601E-17         3  hlk+04 
177   J0417+35      cnst96     0.65440                  3  cnst96     *                  0  *
178   J0417+61      slr+14     0.440283                13  slr+14     *                  0  *
179   J0418-4154    bcm+16     0.757118945031          12  lbs+20     1.31944E-15        4  lbs+20 
180   J0418+5732    vck+10     9.07838822               5  rip+13     4.1E-15            1  rip+13 

181   J0418+6635    trr+21     0.00291018473            9  saa+23     1.3662E-20         9  saa+23 
182   J0419+44      hrk+08     1.241                    0  hrk+08     *                  0  *
183   J0420-5022    hmz+04     3.453004027             12  kv11       2.759E-14         10  kv11 
184   J0421-0345    mld+96     2.161308494552          15  hlk+04     1.16338E-15       15  hlk+04 
185   J0421+3255    ttol16     0.900105016              1  tbc+20     0.06E-15           2  tbc+20 

186   J0426+4933    hrk+08     0.922474730055           2  bck+13     39.3444E-15        2  bck+13 
187   J0435+2749    rtj+96     0.3262794534509         14  bfrs18     8.17E-18          11  bfrs18 
188   J0437-4715    jlh+93     0.005757451936712637    17  rhc+16     5.729215E-20      17  rhc+16 
189   J0447-04      kkl+15     2.18819                  2  kkl+15     *                  0  *
190   J0448-2749    lml+98     0.4504483308563         17  hlk+04     1.48347E-16       19  hlk+04 

191   J0449-7031    mfl+06     0.479163971291          14  mfl+06     3.371E-15          4  mfl+06 
192   B0447-12      mlt+78     0.4380141493906          8  hlk+04     1.02649E-16        6  hlk+04 
193   J0451-67      mfl+06     0.24545429               7  mfl+06     0E-15              2  mfl+06 
194   B0450-18      vlw69      0.548939223294           3  hlk+04     5.753107E-15      16  hlk+04 
